,0
cat__formatted_work_type_Contract,0.07373600305235496
cat__is_remote_False,0.07370943496110043
cat__formatted_experience_level_Entry Level,0.06128799480748964
cat__is_remote_True,0.051068659681562135
num__company_size,0.04889648848179554
num__employee_count,0.04539616802713963
cat__primary_industry_name_Hospitals and Health Care,0.043900829170374404
num__follower_count,0.030240431918245568
text__nurse,0.02771008452694406
num__description_length,0.023186906408014928
text__engineer,0.02200421027421013
cat__primary_industry_name_Retail,0.02198389178795982
cat__formatted_work_type_Part-Time,0.019470844380158094
text__analyst,0.019161903715794536
cat__primary_industry_name_IT Services and IT Consulting,0.015674154732273148
cat__formatted_work_type_Full-Time,0.01518224172823067
text__rn,0.015002630308648734
num__skill_count,0.013656471834925637
text__registered,0.012926735300799113
text__time,0.012502516158501594
