primary_industry_name,job_count,avg_salary,median_salary
Hospitals and Health Care,16214,354354.3779598338,83200.0
Retail,8736,53076.3503565009,40352.0
Staffing and Recruiting,8085,479075.9294352941,82500.0
IT Services and IT Consulting,7964,251644.1999494382,113350.0
Financial Services,5977,114355.50514796546,104000.0
Software Development,4107,211070.96854092527,134420.0
Construction,2670,99341.16125,97750.0
Manufacturing,2479,469807.3103028504,75782.8
Real Estate,2091,86976.73834513275,70000.0
Banking,2002,98335.60998824911,84791.2
Hospitality,1909,64210.58434744269,50128.0
Insurance,1850,268014.01023547875,88660.0
Motor Vehicle Manufacturing,1686,83914.21761648745,78000.0
Pharmaceutical Manufacturing,1635,114761.08187007875,103625.0
Industrial Machinery Manufacturing,1595,80474.17664335664,71109.2
